duration,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,p5x,p5y,p6x,p6y,p7x,p7y
5.493581,3.75,-2.70269e-18,3.75,-2.35877e-18,3.75,-2.64225e-18,3.75,-2.02232e-18,3.74696,0.000308611,3.73914,0.00110439,3.72564,0.0024817,3.70607,0.00448283
5.24679,3.70606,0.004483,3.69628,0.00548356,3.68498,0.00664007,3.67211,0.00795782,3.65766,0.00943885,3.64163,0.0110829,3.62405,0.0128884,3.60494,0.0148526
5.296148,3.60494,0.014853,3.58202,0.0172101,3.55689,0.0197959,3.52962,0.0226059,3.50028,0.0256337,3.46893,0.0288725,3.43565,0.0323158,3.40051,0.0359572
5.345506,3.40051,0.035957,3.35952,0.0402053,3.31599,0.0447235,3.27003,0.0495015,3.22175,0.0545305,3.17123,0.0598026,3.11855,0.0653104,3.0638,0.0710469
5.345506,3.0638,0.071047,3.00904,0.0767835,2.95221,0.0827486,2.89339,0.0889352,2.83265,0.0953363,2.77008,0.101945,2.70576,0.108754,2.63976,0.115756
5.345506,2.63976,0.115755,2.57376,0.122757,2.50608,0.129952,2.43682,0.137333,2.36604,0.144894,2.29383,0.152626,2.22026,0.160524,2.14542,0.168579
5.345506,2.14542,0.16858,2.07058,0.176636,1.99446,0.184849,1.91715,0.193214,1.83873,0.201722,1.75928,0.210367,1.67887,0.219142,1.5976,0.228039
5.345506,1.5976,0.228039,1.51633,0.236936,1.43418,0.245955,1.35125,0.25509,1.26761,0.264333,1.18334,0.273677,1.09853,0.283116,1.01325,0.292641
5.345506,1.01325,0.292641,0.927975,0.302167,0.842232,0.311779,0.756104,0.321472,0.669672,0.331238,0.583017,0.34107,0.496219,0.350961,0.409361,0.360904
5.345506,0.40936,0.360905,0.322501,0.370848,0.235582,0.380843,0.148682,0.390882,0.0618839,0.400959,-0.024732,0.411067,-0.111084,0.421198,-0.197091,0.431345
5.345506,-0.197092,0.431344,-0.283099,0.441491,-0.36876,0.451653,-0.453994,0.461824,-0.538719,0.471997,-0.622853,0.482163,-0.706314,0.492315,-0.789017,0.502446
5.345506,-0.789018,0.502446,-0.871721,0.512577,-0.953668,0.522687,-1.03477,0.532769,-1.11496,0.542816,-1.19413,0.552819,-1.27222,0.562773,-1.34915,0.572668
5.345506,-1.34915,0.572669,-1.42607,0.582565,-1.50183,0.592402,-1.57635,0.602174,-1.64954,0.611873,-1.72135,0.62149,-1.7917,0.631019,-1.86054,0.640452
5.345506,-1.86054,0.640452,-1.92938,0.649885,-1.9967,0.659222,-2.06244,0.668455,-2.12655,0.677578,-2.18898,0.686584,-2.24967,0.695465,-2.30857,0.704215
5.345506,-2.30857,0.704215,-2.36748,0.712965,-2.42459,0.721583,-2.47987,0.730062,-2.53326,0.738394,-2.5847,0.746574,-2.63415,0.754596,-2.68154,0.762455
5.345506,-2.68154,0.762455,-2.72893,0.770314,-2.77428,0.778009,-2.81751,0.785536,-2.85858,0.792887,-2.89743,0.800055,-2.934,0.80702,-2.96822,0.813754
5.296148,-2.96822,0.813754,-2.99755,0.819526,-3.02515,0.825129,-3.05099,0.830544,-3.07503,0.835747,-3.09722,0.84071,-3.11755,0.845397,-3.13598,0.849775
5.24679,-3.13598,0.849776,-3.15135,0.853425,-3.16541,0.856858,-3.17815,0.860058,-3.18957,0.863003,-3.19969,0.865676,-3.20854,0.868065,-3.21617,0.870164
5.493581,-3.21617,0.870164,-3.23143,0.874362,-3.24181,0.877403,-3.24773,0.87925,-3.25,0.880001,-3.25,0.880001,-3.25,0.880001,-3.25,0.880001
